Date,12:00 AM,12:15 AM,12:30 AM,12:45 AM,1:00 AM,1:15 AM,1:30 AM,1:45 AM,2:00 AM,2:15 AM,2:30 AM,2:45 AM,3:00 AM,3:15 AM,3:30 AM,3:45 AM,4:00 AM,4:15 AM,4:30 AM,4:45 AM,5:00 AM,5:15 AM,5:30 AM,5:45 AM,6:00 AM,6:15 AM,6:30 AM,6:45 AM,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM, 10:00 AM, 10:15 AM, 10:30 AM, 10:45 AM, 11:00 AM, 11:15 AM, 11:30 AM, 11:45 AM, 12:00 PM, 12:15 PM, 12:30 PM, 12:45 PM, 1:00 PM, 1:15 PM, 1:30 PM, 1:45 PM, 2:00 PM, 2:15 PM, 2:30 PM, 2:45 PM, 3:00 PM, 3:15 PM, 3:30 PM, 3:45 PM, 4:00 PM, 4:15 PM, 4:30 PM, 4:45 PM, 5:00 PM, 5:15 PM, 5:30 PM, 5:45 PM, 6:00 PM, 6:15 PM, 6:30 PM, 6:45 PM, 7:00 PM, 7:15 PM, 7:30 PM, 7:45 PM, 8:00 PM, 8:15 PM, 8:30 PM, 8:45 PM, 9:00 PM, 9:15 PM, 9:30 PM, 9:45 PM, 10:00 PM, 10:15 PM, 10:30 PM, 10:45 PM, 11:00 PM, 11:15 PM, 11:30 PM, 11:45 PM
10/1/2017,130.33917250000002,129.13917249999997,120.13917249999997,118.63917249999997,118.0391725,117.43917249999998,112.63917249999997,108.7391725,114.43917249999998,116.83917250000002,107.5391725,101.2391725,76.0391725,86.5391725,84.43917249999998,73.33917250000002,61.939172499999984,69.13917249999997,68.5391725,63.13917249999997,54.13917249999997,42.439172499999984,46.63917249999997,39.66629074999997,29.993408999999986,4.120527250000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141.0311095,-285.10792975,-447.48474999999996,-478.90828124999996,-505.83181249999996,-523.6686631154489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.56800850000002,83.60359049999994,143.53917249999995,140.53917249999995,130.0391725,129.13917249999997,134.5391725,138.13917249999997,108.7391725,109.33917250000002,107.5391725,100.0391725,103.63917249999997,101.83917250000002,94.0391725,94.0391725,84.43917249999998,90.13917249999997,80.2391725,67.33917250000002,40.33917250000002,28.339172500000018,36.439172499999984,25.939172499999984,11.239172499999995,8.539172500000006,10.639172499999972,12.139172499999972, 
10/2/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8121642500000235,-80.42435950000004,-172.53655475000005,-240.64875000000006,-261.70520324999995,-295.3616565,-339.21810975000005,-357.87456299999997,-390.88684424999997,-282.8448199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.94262500000002,94.31509774999995,26.0786277,0,0,0,0.022827062500084594,59.189698062499986,117.15656906250007,121.95656906250002,114.45656906250002,107.8565690625,101.8565690625,103.95656906250002,79.3565690625,74.25656906250003,79.65656906250001,81.45656906250002,75.75656906250003,55.65656906250001,62.256569062500034,67.3565690625,64.95656906250002,52.95656906250002,57.15656906250001,40.65656906250001,18.756569062500034,5.256569062500034,0,0,54.45656906250002,117.45656906250002,84.75656906250003,53.556569062500046, 
10/3/2017,46.74414726562503,42.844147265625,63.844147265625,84.24414726562503,85.44414726562502,73.14414726562501,74.64414726562501,72.844147265625,65.64414726562501,71.64414726562501,66.54414726562504,59.344147265625,59.04414726562504,51.844147265625,64.44414726562502,61.14414726562501,53.344147265625,58.74414726562503,58.44414726562502,59.64414726562501,56.94414726562502,65.04414726562504,70.14414726562501,64.524724015625,65.50530076562501,58.385877515625,45.566454265625,48.346875515625015,46.627296765624976,26.307718015625028,6.5881392656250455,-0.2006322,10.110596265624963,0,0,0,0,0,0,0,0,0,0,-82.52414875,-224.20707849999997,-379.69000825,-537.572938,-40.2104513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6549675156250032,58.44414726562502,40.74414726562503,39.844147265625,29.64414726562501,38.04414726562504,40.74414726562503,37.14414726562501,42.24414726562503,33.844147265625,28.44414726562502,46.14414726562501,29.94414726562502,33.844147265625,35.04414726562504,22.74414726562503,19.74414726562503,12.844147265624997,0,0,0,0,0,0,0,0,0, 
10/4/2017,-27.07324929687502,-30.37324929687503,-29.473249296874997,-26.173249296874985,-41.473249296875,-37.27324929687501,-39.673249296874985,-19.57324929687502,67.72675070312499,62.62675070312497,35.62675070312497,29.026750703125003,27.526750703125003,34.72675070312499,41.92675070312498,34.42675070312498,41.326750703125015,35.326750703125015,32.92675070312498,51.22675070312499,43.42675070312498,45.826750703125015,45.826750703125015,41.89918295312498,46.971615203125,38.84404745312497,27.716479703125003,15.256752453124989,5.197025203125008,-1.5627020468750175,-23.92242929687501,-46.44448579687497,-67.766542296875,-90.58859879687498,-112.51065529687497,-168.895928796875,-155.681202296875,-167.36647579687497,-164.35174929687503,-141.77655004687503,-126.70135079687503,-102.326151546875,-79.150952296875,-108.71409679687503,-122.97724129687498,-147.440385796875,-97.2570484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20073470312502195,35.38223870312498,57.96374270312498,81.145246703125,99.526750703125,89.92675070312498,83.62675070312497,98.026750703125,91.72675070312499,84.526750703125,96.22675070312499,91.72675070312499,88.72675070312499,95.026750703125,87.82675070312501,94.72675070312499,93.82675070312501,80.32675070312501,85.72675070312499,75.82675070312501,65.026750703125,37.72675070312499,22.42675070312498,20.62675070312497,14.92675070312498,1.726750703124992,0,0,0,0, 
10/5/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.834969,-120.28960949999998,-224.14424999999994,-269.5546875,-311.965125,-364.2755625,-427.68600000000004,-455.34170325,-464.3974065,-479.75310974999996,-502.60881299999994,-305.9928675,-98.876922,108.53902350000004,180.6942077,0,0,0,0,0,0,0,0,0,0,7.897530671875018,27.44644692187501,34.16590092187499,46.885354921875035,63.804808921875065,67.22426292187504,75.281252171875,90.538241421875,98.89523067187503,98.85221992187502,84.45221992187504,77.85221992187502,81.75221992187505,80.85221992187502,81.45221992187504,78.75221992187505,70.95221992187504,67.05221992187501,81.15221992187503,73.95221992187504,73.65221992187503,71.55221992187501,68.25221992187505,70.35221992187502,64.65221992187503,56.85221992187502,35.55221992187501,6.752219921875053,0,0,0,43.05221992187501,95.25221992187505,88.95221992187504,82.35221992187502, 
10/6/2017,69.06899085937505,77.46899085937503,69.96899085937503,64.26899085937504,62.468990859375026,60.06899085937505,60.668990859375015,57.968990859375026,70.56899085937505,64.26899085937504,60.06899085937505,65.46899085937503,60.668990859375015,60.668990859375015,57.368990859375,58.56899085937505,51.668990859375015,42.06899085937505,25.56899085937505,17.468990859375026,25.868990859375003,28.268990859375037,16.268990859375037,18.014713359375037,20.06043585937499,15.506158359375036,10.651880859375012,-5.667683390624973,-13.58724764062498,-18.806811890625,-27.626376140624984,-36.134938640624966,-44.043501140624926,-55.552063640624965,-30.760626140624993,-28.65255014062501,-82.644474140625,-90.43639814062499,-94.92832214062497,-82.14182989062499,-81.055337640625,-83.26884539062496,-89.08235314062495,-88.458075640625,-72.53379814062498,-41.90952064062503,-39.18524314062506,-54.99084864062502,-66.29645414062497,-71.60205964062493,-78.588092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.27172535937507,66.07035810937498,108.66899085937507,84.96899085937503,73.868990859375,65.16899085937501,75.368990859375,70.56899085937505,64.868990859375,61.26899085937504,64.26899085937504,67.26899085937504,63.668990859375015,69.06899085937505,56.76899085937504,55.56899085937505,56.76899085937504,55.56899085937505,47.76899085937504,27.368990859375003,3.068990859375049,3.6689908593750147,0,0,0,0,0,0, 
10/7/2017,-50.243430937499966,-51.743430937499966,-62.243430937499966,-64.94343093749995,-62.84343093749999,-66.1434309375,-70.6434309375,-67.04343093749998,-64.94343093749995,-65.54343093749998,-73.94343093749995,-81.74343093749997,-87.44343093749995,-92.24343093749997,-90.74343093749997,-94.04343093749998,-96.44343093749995,-72.44343093749995,-1.6434309374999998,9.156569062500012,12.756569062500034,14.256569062500034,21.456569062500023,22.052438812500043,21.148308562500063,15.444178312500071,17.84004806249999,7.162760312499984,1.5854725625000015,-13.591815187500004,-27.86910293750003,-46.533794437500035,-45.69848593749998,-65.86317743749998,-95.62786893750001,-105.47359543750002,-179.81932193749998,-193.26504843749996,-201.9107749375,-182.2049036875,-148.0990324375,-120.59316118749996,-112.88728993749993,-105.20056343749997,-68.11383693750003,-47.52711043749997,-43.740383937499985,-108.20959893750006,-154.67881393749997,-217.9480289375,-263.81724393750005,-237.92468918749995,-218.056296,0,0,0,0,0,0,0,0,0,0,0,12.291181562499958,48.121229812500076,96.85127806249994,101.85260081250004,110.15392356249998,109.75524631249999,109.3565690625,116.25656906249998,99.75656906249998,103.05656906250005,98.8565690625,100.65656906250007,79.95656906250002,74.8565690625,70.3565690625,74.55656906250005,67.95656906250002,70.3565690625,58.056569062500046,62.556569062500046,57.756569062500034,50.256569062500034,43.056569062500046,22.956569062500023,0,0,0,0,0,0,0,0, 
10/8/2017,23.77334000000002,74.47334000000001,65.17334,71.77334000000002,72.37334000000004,66.07334000000003,65.77334000000002,70.27334000000002,67.27334000000002,71.77334000000002,67.57334000000003,68.47334000000001,72.37334000000004,64.87334000000004,62.173339999999996,65.47334000000001,63.07334000000003,64.87334000000004,71.17334,67.27334000000002,76.57334000000003,81.67334,84.97334000000006,84.64455675000005,90.31577350000003,62.08699025000004,48.25820700000003,33.36518950000004,19.372172000000035,6.579154500000072,-8.913862999999992,-13.510046749999958,-23.506230500000015,-28.702414250000004,-43.79859799999991,-54.76884799999999,-147.03909799999997,-109.6356439,0,0,0,0,0,0,0,0,0,0,-100.3141720000001,-272.79117999999994,-456.668188,-423.59590675000004,-395.0236255,-377.25134425,-349.27906299999995,-318.8542034999999,-280.62934400000006,-242.10448450000013,-202.07962500000008,-133.38125000000014,-70.68287500000008,-9.484500000000025,0,0,0,0,0,0,26.011378999999977,61.642359500000055,111.67334,108.67334,103.87334000000004,79.87334000000004,75.67334,80.47334000000001,65.47334000000001,65.17334,66.67334,71.17334,70.57334000000003,62.173339999999996,67.57334000000003,70.27334000000002,64.57334000000003,55.87334000000004,44.173339999999996,34.87334000000004,9.673339999999996,1.5733400000000302,-4.726659999999981,-17.289545,52.87334000000004,93.67334,89.17334,84.37334000000004, 
10/9/2017,78.97334000000001,78.37334000000004,78.97334000000001,66.07334000000003,69.07334000000003,64.27334000000002,74.47334000000001,77.47334000000001,67.87334000000004,71.17334,75.07334000000003,65.77334000000002,63.97334000000001,60.97334000000001,75.37334000000004,72.37334000000004,76.57334000000003,63.37334000000004,68.17334,61.87334000000004,72.97334000000001,70.87334000000004,59.173339999999996,65.15629675000002,72.93925350000006,70.82221025000001,67.20516700000002,52.15759700000001,33.81002700000005,30.762456999999984,29.814887000000056,33.58108425,22.947281499999974,23.713478750000093,26.279675999999938,0,0,0,0,0,0,0,0,0,0,0,0,0,-113.29359399999987,-301.94039099999986,-481.58718799999997,-464.23482850000005,-432.782469,-423.5301095,-403.47775,-363.91368750000004,-311.74962500000004,-270.3855625000001,-223.92150000000004,-166.65572650000001,-100.98995300000001,-37.7241795,24.341594000000043,99.58806650000002,162.23453900000004,242.8810115,251.0820712,0,0,8.430211000000043,50.173339999999996,54.07334000000003,71.77334000000002,75.67334,63.07334000000003,47.47334000000001,47.47334000000001,35.47334000000001,40.87334000000004,31.27334000000002,24.07334000000003,37.27334000000002,35.47334000000001,24.37334000000004,27.973340000000007,18.973340000000007,9.973340000000007,0,0,0,0,0,0,57.37334000000004,60.07334000000003,62.77334000000002, 
10/10/2017,103.30190710937507,99.70190710937504,94.60190710937502,89.50190710937505,89.20190710937504,95.50190710937505,95.50190710937505,89.20190710937504,97.60190710937502,100.00190710937505,96.40190710937503,91.60190710937502,89.20190710937504,92.80190710937507,90.10190710937502,79.90190710937503,78.70190710937504,75.40190710937503,79.30190710937507,79.90190710937503,78.40190710937503,76.00190710937505,76.30190710937507,62.75976260937506,9.917618109375098,0,0,0,0,0,0,0,-29.027281499999958,-132.68514075000007,-230.64300000000003,-178.9040625,-140.665125,-114.72618749999998,-59.98724999999996,-34.52651574999999,-26.76578149999989,-31.305047249999916,-19.944312999999966,-28.07709424999996,-57.20987549999995,-74.04265674999999,-109.17543799999999,-223.86345349999988,-334.35146899999995,-443.3394844999999,-563.4274999999999,-544.1682812499998,-517.7090625000001,-272.1226466,0,0,0,0,0,0,0,0,0,71.56256599999995,140.78181999999998,225.901074,305.320328,204.5783117,0,36.45698910937506,85.90190710937503,100.30190710937507,91.00190710937505,72.40190710937503,80.20190710937504,82.30190710937507,85.00190710937505,83.20190710937504,77.80190710937507,80.80190710937507,81.40190710937503,80.80190710937507,72.70190710937504,76.30190710937507,62.501907109375054,67.60190710937502,63.10190710937502,41.801907109375065,26.801907109375065,16.90190710937503,13.301907109375065,8.201907109375043,0,0,0,0, 
