Date,12:00 AM,12:15 AM,12:30 AM,12:45 AM,1:00 AM,1:15 AM,1:30 AM,1:45 AM,2:00 AM,2:15 AM,2:30 AM,2:45 AM,3:00 AM,3:15 AM,3:30 AM,3:45 AM,4:00 AM,4:15 AM,4:30 AM,4:45 AM,5:00 AM,5:15 AM,5:30 AM,5:45 AM,6:00 AM,6:15 AM,6:30 AM,6:45 AM,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM, 10:00 AM, 10:15 AM, 10:30 AM, 10:45 AM, 11:00 AM, 11:15 AM, 11:30 AM, 11:45 AM, 12:00 PM, 12:15 PM, 12:30 PM, 12:45 PM, 1:00 PM, 1:15 PM, 1:30 PM, 1:45 PM, 2:00 PM, 2:15 PM, 2:30 PM, 2:45 PM, 3:00 PM, 3:15 PM, 3:30 PM, 3:45 PM, 4:00 PM, 4:15 PM, 4:30 PM, 4:45 PM, 5:00 PM, 5:15 PM, 5:30 PM, 5:45 PM, 6:00 PM, 6:15 PM, 6:30 PM, 6:45 PM, 7:00 PM, 7:15 PM, 7:30 PM, 7:45 PM, 8:00 PM, 8:15 PM, 8:30 PM, 8:45 PM, 9:00 PM, 9:15 PM, 9:30 PM, 9:45 PM, 10:00 PM, 10:15 PM, 10:30 PM, 10:45 PM, 11:00 PM, 11:15 PM, 11:30 PM, 11:45 PM
10/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8039765,33.607953,50.4119295,67.215906,100.12312475,133.03034350000001,165.93756224999998,198.84478099999998,295.92232025,392.99985949999996,490.07739875000004,587.154938,495.90544175,404.65594550000003,313.40644925000004,222.15695300000002,381.28540225,540.4138515,699.54230075,858.67075,875.30714075,891.9435315000001,908.57992225,925.216313,943.13640675,961.0565005000001,978.9765942500001,996.896688,954.693188,912.489688,870.286188,828.082688,810.4345942499999,792.7865005,775.1384067500001,757.490313,685.7151645,613.940016,542.1648675,470.389719,411.14585950000003,351.902,292.6581405,233.414281,175.06071075,116.7071405,58.35357024999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13149025,44.2629805,66.39447075,88.525961,164.308752,240.091543,315.874334,391.657125,454.61207825,517.5670315,580.52198475,643.476938,701.371938,759.266938,817.161938,875.056938,811.7421254999999,748.4273129999999,685.1125005,621.797688,633.788063,645.778438,657.768813,669.759188,757.9250005,846.090813,934.2566254999999,1022.4224379999999,996.6790317499999,970.9356255,945.19221925,919.448813,881.05790675,842.6670005,804.2760942499999,765.885188,693.93750825,621.9898284999999,550.04214875,478.094469,410.40643,342.718391,275.030352,207.342313,155.50673475,103.6711565,51.83557825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/13/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9754845,47.950969,71.92645350000001,95.901938,172.77087550000002,249.63981300000003,326.5087505,403.37768800000003,476.69960975000004,550.0215315,623.34345325,696.665375,733.115125,769.564875,806.014625,842.464375,882.0898595,921.715344,961.3408285,1000.966313,1007.417563,1013.868813,1020.320063,1026.771313,1020.0165784999999,1013.261844,1006.5071095000001,999.752375,963.42975,927.107125,890.7845,854.461875,825.362875,796.263875,767.1648749999999,738.065875,676.1113672500001,614.1568595,552.2023517499999,490.247844,410.5146995,330.781555,251.0484105,171.315266,128.4864495,85.657633,42.828816500000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/14/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.985709,47.971418,71.957127,95.942836,162.92835350000001,229.913871,296.8993885,363.884906,439.28752325,514.6901405,590.0927577499999,665.495375,716.0956094999999,766.695844,817.2960785,867.896313,898.16867225,928.4410315,958.71339075,988.98575,1001.9038282500001,1014.8219065000001,1027.73998475,1040.658063,1033.25321925,1025.8483755,1018.44353175,1011.038688,985.2409534999999,959.443219,933.6454845000001,907.84775,863.757547,819.667344,775.577141,731.486938,628.47077375,525.4546095000001,422.43844525,319.422281,287.0498005,254.67732,222.30483949999999,189.932359,142.44926925,94.9661795,47.483089750000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.242088,44.484176,66.726264,88.968352,167.95644375,246.94453550000003,325.93262725,404.920719,464.068258,523.2157970000001,582.3633360000001,641.510875,690.75271875,739.9945625,789.2364062500001,838.47825,878.89740625,919.3165625,959.73571875,1000.1548750000001,1008.30601575,1016.4571565000001,1024.60829725,1032.759438,1021.20346925,1009.6475005,998.0915317500001,986.535563,962.11128175,937.6870005000001,913.26271925,888.838438,849.91317225,810.9879065,772.06264075,733.137375,590.08840625,447.0394375,303.99046875,160.9415,120.70612499999999,80.47075,40.235375000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/16/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.303115250000001,20.606230500000002,30.909345750000004,41.212461000000005,87.44106450000001,133.669668,179.89827150000002,226.126875,336.41893749999997,446.711,557.0030624999999,667.295125,712.16239075,757.0296565,801.89692225,846.764188,884.6614535,922.558719,960.4559845,998.35325,1014.37396875,1030.3946875,1046.41540625,1062.436125,1054.49521875,1046.5543125,1038.61340625,1030.6725000000001,1002.0491720000001,973.4258440000001,944.802516,916.179188,868.60140675,821.0236255,773.4458442499999,725.868063,661.4950005000001,597.121938,532.7488755,468.37581300000005,351.28185975,234.18790650000003,117.09395325000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/17/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3343555,40.668711,61.0030665,81.337422,156.66961350000003,232.00180500000002,307.3339965,382.66618800000003,449.54809425,516.4300005,583.3119067499999,650.193813,693.8706255,737.547438,781.2242505,824.901063,865.00654725,905.1120315000001,945.21751575,985.323,1010.7181875,1036.113375,1061.5085625,1086.90375,1066.12964075,1045.3555314999999,1024.58142225,1003.807313,977.23279725,950.6582815,924.0837657500001,897.5092500000001,849.7828282500001,802.0564065000001,754.32998475,706.603563,609.5690395,512.5345159999999,415.49999249999996,318.465469,238.84910175,159.2327345,79.61636725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/18/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42086325,24.8417265,37.262589750000004,49.683453,60.9730215,72.26259,83.5521585,94.841727,117.09740475000001,139.3530825,161.60876025,183.864438,178.5382425,173.21204699999998,167.8858515,162.559656,151.29672449999998,140.033793,128.7708615,117.50793,140.69339675,163.8788635,187.06433025,210.249797,359.53453525000003,508.81927350000007,658.1040117500002,807.3887500000001,711.591664,615.794578,519.9974920000001,424.20040600000004,471.2298045,518.2592030000001,565.2886015,612.318,569.14009375,525.9621875,482.78428125,439.606375,329.70478125,219.8031875,109.90159375000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/19/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94296075,7.8859215,11.82888225,15.771843,44.2205775,72.66931199999999,101.11804649999999,129.566781,175.1272185,220.687656,266.2480935,311.808531,439.28150775,566.7544845,694.22746125,821.700438,862.62235975,903.5442815,944.46620325,985.3881250000001,1005.8563437500001,1026.3245625,1046.79278125,1067.261,1058.01203125,1048.7630625000002,1039.51409375,1030.2651250000001,998.3141720000001,966.3632190000001,934.412266,902.461313,860.0177972500001,817.5742815000001,775.13076575,732.6872500000001,660.19330475,587.6993595,515.20541425,442.71146899999997,332.03360175,221.35573449999998,110.67786724999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
10/20/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.362325,6.72465,10.086974999999999,13.4493,35.45631675,57.463333500000005,79.47035025,101.477367,118.51536125,135.5533555,152.59134975,169.629344,197.36608625000002,225.10282850000002,252.83957075,280.576313,403.97796925,527.3796255,650.7812817500001,774.182938,802.7874380000001,831.391938,859.9964379999999,888.6009379999999,882.8145472499999,877.0281565,871.24176575,865.455375,843.15634375,820.8573125,798.55828125,776.2592500000001,749.2152187500001,722.1711875000001,695.12715625,668.083125,598.61950775,529.1558904999999,459.69227324999997,390.228656,292.671492,195.114328,97.557164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
